shortcut,description
C-x o, Change Window
M-x, commands -> shell; term; split-windows-*; search-*; color-theme-*; ..and so on.
C-x C-f, Find/Navigate Files
C-x b, Switch buffer
C-x k, Kill buffer
C-s, Search keyword
C-h, Help
C-x m, write a new mail
C-c C-s, send mail 
C-Alt-!, run single line shell command
C-x {/}, adjust window left/right resp. 
C-x i, Insert file (append to current buffer)
C-x d, search directories; then display file attribs (optionally open it as well)
C-x h, Select all region
C-M \, Indent whole HTML After selecting all region
C-spacebar, selection partial region
C-c >, shift python indented block 4 spaces right
